Algorithm,amazon,cit-Patents,com-lj,com-youtube,dblp,p2p-Gnutella31,email-EuAll,soc-Epinions1,soc-LiveJournal1,soc-Pokec,soc-Slashdot0902,web-Google,wiki-Talk,wiki-topcats
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Dir_12_L2_drop0.3_S3,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Sym+HY_10_Sym_12_L2_drop0.3_S3,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Sym_12_L2_drop0.3_S3,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
KADABRA_NK_err0.01_delta0.1_S1,0.12336,0.574309,0.57957,0.260357,0.173454,0.013308,0.003009,0.011840,0.482562,0.291391,0.029572,0.322592,0.004050,0.450469
