Algorithm,Time
baseline_degree_mix_mass_6_SF_10_12_L2_drop0.3_S1,515.3237
baseline_degree_mix_mass_6_HY_10_12_L2_drop0.3_S1,450.7496
baseline_degree_mix_mass_6_SF_10_HY_10_12_L2_drop0.3_S1,1006.5083
baseline_degree_mix_mass_6_SF_10_Dir_12_L2_drop0.3_S1,457.0462
baseline_degree_mix_mass_6_HY_10_Sym_12_L2_drop0.3_S1,535.4525
baseline_degree_mix_mass_6_SF_10_HY_10_12_L2_drop0.3_E2_S1,224.1833
baseline_degree_mix_mass_6_HY_10_Dir_12_L2_drop0.3_S1,507.4021
baseline_degree_mix_mass_6_SF_10_Dir+HY_10_Dir_12_L2_drop0.3_S1,928.638
baseline_degree_mix_mass_6_SF_10_Sym+HY_10_Sym_12_L2_drop0.3_S1,979.5835
baseline_degree_mix_mass_6_SF_10_Sym_12_L2_drop0.3_S1,476.5341
baseline_degree_mix_mass_6_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,1951.6274
baseline_degree_mix_mass_6_SF_10_Dir+HY_10_Dir_12_L2_drop0.3_S1_noprep,920.3731
baseline_degree_mix_mass_6_SF_10_Dir_12_L2_drop0.3_E1_S1,47.6164
baseline_degree_mix_mass_6_sp64_ff_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,298.3129
baseline_degree_mix_mass_6_sp64_ff_SF_10_Dir+HY_10_Sym_64_L2_drop0.3_E30_S1,1201.1138
baseline_degree_mix_mass_6_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_E2_S1,197.8307
baseline_degree_mix_mass_12_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,1958.1198
baseline_degree_mix_mass_6_pr_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,1927.6111
baseline_degree_mix_mass_6_sp16_ff_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,1952.294
