Algorithm,amazon,cit-Patents,com-lj,com-youtube,dblp,p2p-Gnutella31,email-EuAll,soc-Epinions1,soc-LiveJournal1,soc-Pokec,soc-Slashdot0902,web-Google,wiki-Talk,wiki-topcats
baseline_degree_mix_mass_12_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,1.189184,3.735378,7.075160,0.540505,1.817999,0.031181,0.042335,0.04863,6.976839,3.146601,0.079897,0.421813,0.525591,2.723338
baseline_degree_mix_mass_6_HY_10_12_L2_drop0.3_S1,0.551052,1.586870,3.188408,0.274926,0.832931,0.014994,0.025446,0.0249,3.122640,1.356222,0.040569,0.202908,0.236648,1.289048
baseline_degree_mix_mass_6_HY_10_Dir_12_L2_drop0.3_S1,0.754120,2.423600,4.239037,0.362290,1.176168,0.022031,0.034248,0.032651,7.596253,1.916056,0.051259,0.285137,0.366681,1.610456
baseline_degree_mix_mass_6_HY_10_Sym_12_L2_drop0.3_S1,0.380889,1.118955,2.285073,0.197999,0.581656,0.01021,0.017605,0.015958,2.335183,0.981714,0.026766,0.139669,0.162478,0.916749
baseline_degree_mix_mass_6_SF_10_12_L2_drop0.3_S1,1.096503,3.196409,6.180038,0.502565,1.686874,0.030468,0.048890,0.0464,18.279681,2.694469,0.072254,0.389719,0.518345,2.347406
baseline_degree_mix_mass_6_SF_10_Dir+HY_10_Dir_12_L2_drop0.3_S1,-,-,-,0.481129,-,0.027257,0.039880,0.040404,-,-,0.069771,-,-,-
baseline_degree_mix_mass_6_SF_10_Dir+HY_10_Dir_12_L2_drop0.3_S1_noprep,-,-,-,0.395649,-,0.023562,0.045633,0.035166,-,-,0.055278,-,-,-
baseline_degree_mix_mass_6_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_E2_S1,0.769215,2.340204,4.230303,0.336573,1.161217,0.019454,0.030059,0.029118,4.191458,1.911015,0.046275,0.265204,0.359264,1.617358
baseline_degree_mix_mass_6_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,0.764662,2.351257,4.228636,0.335455,1.158034,0.020497,0.031906,0.030901,4.180899,1.923884,0.049472,0.289813,0.359018,1.622317
baseline_degree_mix_mass_6_SF_10_Dir_12_L2_drop0.3_E1_S1,-,-,-,-,-,0.026839,-,0.040188,-,-,-,-,-,-
